,,,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,STANDARD
Player,Season,Week,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,FPTS
Tee Higgins (CIN),2022,4,7,9,124,17.7,59,5,1,0,0,0,0,18.4
Deebo Samuel (SF),2022,4,6,7,115,19.2,57,5,1,2,2,0,0,17.7
Jamal Agnew (JAC),2022,4,4,6,50,12.5,24,1,2,0,0,0,0,17.0
Tyreek Hill (MIA),2022,4,10,14,160,16.0,64,5,0,1,-1,0,0,15.9
CeeDee Lamb (DAL),2022,4,6,8,97,16.2,30,3,1,0,0,0,0,15.7
DK Metcalf (SEA),2022,4,7,10,149,21.3,54,7,0,0,0,0,0,14.9
Marquise Brown (ARI),2022,4,6,11,88,14.7,23,2,1,0,0,0,0,14.8
Josh Reynolds (DET),2022,4,7,8,81,11.6,26,1,1,0,0,0,0,14.1
Corey Davis (NYJ),2022,4,5,6,74,14.8,22,1,1,0,0,0,0,13.4
Chris Olave (NO),2022,4,4,7,67,16.8,32,3,1,0,0,0,0,12.7
Cooper Kupp (LAR),2022,4,14,19,122,8.7,18,0,0,0,0,0,0,12.2
Mike Williams (LAC),2022,4,7,11,120,17.1,50,5,0,0,0,0,0,12.0
Brandin Cooks (DAL),2022,4,7,7,57,8.1,20,1,1,0,0,0,0,11.7
Allen Lazard (NYJ),2022,4,6,8,116,19.3,32,4,0,0,0,0,0,11.6
Jerry Jeudy (DEN),2022,4,4,5,53,13.3,32,3,1,0,0,0,0,11.3
Courtland Sutton (DEN),2022,4,5,7,52,10.4,18,0,1,0,0,0,0,11.2
Davante Adams (LV),2022,4,9,13,101,11.2,20,1,0,1,4,0,0,10.5
Jahan Dotson (WAS),2022,4,3,4,43,14.3,31,2,1,0,0,0,0,10.3
George Pickens (PIT),2022,4,6,8,102,17.0,27,3,0,0,0,0,0,10.2
A.J. Brown (PHI),2022,4,5,7,95,19.0,31,3,0,0,0,0,0,9.5
Darnell Mooney (CHI),2022,4,4,5,94,23.5,56,4,0,0,0,0,0,9.4
Robert Woods (HOU),2022,4,4,4,30,7.5,10,0,1,0,0,0,0,9.0
Romeo Doubs (GB),2022,4,5,8,47,9.4,16,0,1,0,0,0,1,8.7
DeVante Parker (NE),2022,4,2,2,24,12.0,25,1,1,0,0,0,0,8.4
Michael Gallup (DAL),2022,4,2,3,24,12.0,15,0,1,0,0,0,0,8.4
Christian Watson (GB),2022,4,1,3,8,8.0,8,0,0,1,15,1,0,8.3
Nico Collins (HOU),2022,4,3,5,82,27.3,58,5,0,0,0,0,0,8.2
Ja'Marr Chase (CIN),2022,4,4,6,81,20.3,36,3,0,0,0,0,0,8.1
Isaiah McKenzie (IND),2022,4,4,6,21,5.3,8,0,1,0,0,0,0,8.1
Alec Pierce (IND),2022,4,4,6,80,20.0,44,4,0,0,0,0,0,8.0
Adam Thielen (CAR),2022,4,8,9,72,9.0,16,0,0,0,0,0,0,7.2
Tyler Lockett (SEA),2022,4,6,8,91,15.2,34,2,0,0,0,0,1,7.1
Donovan Peoples-Jones (CLE),2022,4,5,9,71,14.2,42,3,0,0,0,0,0,7.1
Marquez Valdes-Scantling (KC),2022,4,3,5,63,21.0,36,3,0,0,0,0,0,6.3
Christian Kirk (JAC),2022,4,2,9,60,30.0,45,3,0,1,3,0,0,6.3
Stefon Diggs (BUF),2022,4,4,6,62,15.5,23,1,0,0,0,0,0,6.2
Noah Brown (HOU),2022,4,3,6,61,20.3,45,3,0,0,0,0,0,6.1
DJ Moore (CHI),2022,4,6,11,50,8.3,16,0,0,1,11,0,0,6.1
Chris Godwin (TB),2022,4,7,10,59,8.4,12,0,0,0,0,0,0,5.9
Tyler Boyd (CIN),2022,4,2,5,47,23.5,43,3,0,0,0,0,0,5.6
Elijah Moore (CLE),2022,4,3,4,53,17.7,28,2,0,1,2,0,0,5.5
Olamide Zaccheaus (FA),2022,4,2,2,55,27.5,42,3,0,0,0,0,0,5.5
KJ Hamler (DEN),2022,4,1,1,55,55.0,55,4,0,0,0,0,0,5.5
Trent Sherfield (BUF),2022,4,4,6,55,13.8,16,0,0,0,0,0,0,5.5
Tom Kennedy (DET),2022,4,3,5,54,18.0,28,1,0,0,0,0,0,5.4
Marquez Callaway (DEN),2022,4,3,6,53,17.7,33,2,0,0,0,0,0,5.3
Devin Duvernay (BAL),2022,4,4,5,51,12.8,21,1,0,0,0,0,0,5.1
Michael Bandy (FA),2022,4,2,2,49,24.5,25,2,0,0,0,0,0,4.9
Braxton Berrios (MIA),2022,4,1,1,6,6.0,6,0,0,0,0,0,0,4.7
