Player,TEAM,POS,DPCHT,G,pass_CMP,pass_CMP_mean,pass_ATT,pass_ATT_mean,pass_PCT,pass_YDS,pass_YDS_mean,pass_Y/A,pass_TD,pass_TD_mean,pass_INT,pass_INT_mean,pass_SACKS,pass_SACKS_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_TD,rush_TD_mean,FL,FL_mean,OPP,OPP_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE
Matt Barkley,BUF,QB,3.0,1.63,2.85,0.76,5.41,1.44,0.1,44.52,11.41,1.59,0.13,0.03,0.29,0.08,0.24,0.06,0.89,0.19,-0.99,-0.23,-0.24,0.0,0.0,0.05,0.02,6.3,1.63,0.35,1.82,0.43,0.23,0.67,0.51,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.31,1.82,0.43,0.23,0.67,0.51,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.31,1.82,0.43,0.23,0.67,0.51,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.31,4
Chris Streveler,NYJ,QB,2.0,1.67,9.08,7.41,13.56,11.1,0.67,77.69,64.46,5.54,0.1,0.02,0.1,0.02,0.72,0.3,6.95,6.24,37.69,35.69,4.74,0.0,0.0,0.0,0.0,20.51,17.33,0.37,7.17,6.2,6.03,0.67,0.62,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.3,7.17,6.2,6.03,0.67,0.62,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.3,7.17,6.2,6.03,0.67,0.62,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3
Blaine Gabbert,FA,QB,16.0,2.59,6.56,4.38,9.59,6.01,0.7,50.44,25.12,4.8,0.85,0.69,0.0,0.0,0.36,0.07,3.23,0.62,-0.15,0.11,-0.02,0.0,0.0,0.0,0.0,12.82,6.62,0.45,5.39,3.81,3.37,0.95,0.54,2.49,0.1,0.0,0.0,0.0,0.0,0.0,0.29,5.39,3.81,3.37,0.95,0.54,2.49,0.1,0.0,0.0,0.0,0.0,0.0,0.29,5.39,3.81,3.37,0.95,0.54,2.49,0.1,0.0,0.0,0.0,0.0,0.0,0.29,3
Kellen Mond,CLE,QB,3.0,2.0,2.0,1.0,3.0,1.5,0.67,5.0,2.5,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,0.44,0.2,0.1,0.1,0.14,0.27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.2,0.1,0.1,0.14,0.27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.2,0.1,0.1,0.14,0.27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,2
Logan Woodside,ATL,QB,3.0,2.28,0.1,0.02,0.31,0.05,0.03,0.72,0.12,0.24,0.0,0.0,0.0,0.0,0.0,0.0,2.26,0.5,-0.51,-0.21,-0.11,0.0,0.0,0.0,0.0,2.56,0.56,0.43,-0.02,-0.02,-0.03,0.11,-0.07,2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.02,-0.02,-0.03,0.11,-0.07,2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.02,-0.02,-0.03,0.11,-0.07,2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.01,3
Feleipe Franks,ATL,QB,4.0,5.29,0.0,0.0,0.29,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.05,0.0,0.0,1.57,0.29,1.71,0.29,0.57,0.0,0.0,0.0,0.0,1.86,0.33,0.74,-0.11,-0.02,0.0,0.14,-0.04,5.29,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.11,-0.02,0.0,0.14,-0.04,5.29,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.11,-0.02,0.0,0.14,-0.04,5.29,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2
Jacob Eason,CAR,QB,2.0,1.0,2.71,2.71,5.0,5.0,0.54,49.29,49.29,9.86,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.28,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Stone Smartt,LAC,QB,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Sam Howell,WAS,QB,2.0,1.0,11.0,11.0,19.0,19.0,0.58,169.0,169.0,8.89,1.0,1.0,1.0,1.0,3.0,3.0,5.0,5.0,35.0,35.0,7.0,1.0,1.0,0.0,0.0,24.0,24.0,0.28,19.3,19.3,19.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,19.3,19.3,19.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,19.3,19.3,19.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
Davis Cheek,FA,QB,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
