Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE
Marquez Callaway ,DEN,WR,4.0,11.9,24.21,1.92,44.82,3.57,302.1,22.64,11.26,38.79,12.95,6.64,0.47,2.18,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.21,1.92,44.82,3.57,0.0,0.0,0.0,0.97,43.29,3.19,2.25,3.05,3.74,9.1,1.51,1.03,0.0,0.26,0.11,0.03,3.06,55.39,4.15,3.35,3.53,4.86,9.74,1.03,0.87,0.0,0.26,0.09,0.03,4.03,67.49,5.11,4.56,4.08,5.97,8.74,2.03,0.62,0.26,0.26,0.09,0.06,5.07,3
Quez Watkins ,PHI,WR,3.0,15.87,32.9,2.01,49.92,3.08,403.69,24.92,12.29,61.72,17.45,13.85,0.87,2.28,0.15,2.18,0.13,1.41,0.08,0.98,0.0,0.0,35.08,2.14,52.1,3.21,0.64,0.04,0.02,0.98,53.43,3.33,2.11,3.94,3.76,12.18,1.79,1.64,0.26,0.0,0.14,0.02,2.99,69.88,4.33,3.25,4.34,4.92,12.18,1.79,1.64,0.26,0.0,0.14,0.02,4.02,86.33,5.34,4.65,4.82,6.08,11.54,2.44,1.64,0.26,0.0,0.14,0.02,5.16,3
Cole Beasley ,BUF,WR,4.0,9.09,34.61,2.72,47.23,3.69,318.17,23.37,7.29,18.14,9.63,3.46,0.22,0.88,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.61,2.72,47.23,3.69,0.0,0.0,0.0,0.83,38.2,2.75,2.44,1.92,3.39,6.54,1.02,1.0,0.42,0.1,0.14,0.07,2.89,55.51,4.11,3.57,2.71,4.85,5.85,1.39,0.64,0.98,0.24,0.18,0.2,4.01,72.81,5.47,4.7,3.55,6.26,5.71,1.04,1.08,0.92,0.33,0.27,0.25,5.1,4
DeAndre Carter ,FA,WR,14.0,16.57,34.77,2.05,51.61,3.04,411.36,24.24,11.61,30.56,13.6,10.74,0.63,2.59,0.16,3.69,0.22,12.68,0.75,-2.43,0.0,0.0,38.46,2.26,55.31,3.26,1.37,0.08,0.13,1.0,56.66,3.33,1.91,3.94,3.66,13.45,0.78,2.34,0.0,0.0,0.16,0.0,2.91,74.04,4.36,2.96,4.51,4.77,12.22,2.01,1.72,0.62,0.0,0.16,0.05,3.9,91.43,5.38,4.05,5.12,5.87,11.97,2.22,1.76,0.62,0.0,0.16,0.05,4.89,4
Noah Brown ,HOU,WR,3.0,13.93,31.8,2.14,54.09,3.61,402.24,26.84,11.87,40.02,13.95,8.23,0.54,1.85,0.12,0.1,0.01,0.39,0.02,0.39,0.0,0.0,31.9,2.14,54.19,3.61,0.62,0.04,0.01,0.96,50.12,3.3,1.67,3.86,3.64,10.85,1.85,0.0,1.23,0.0,0.09,0.11,2.81,66.01,4.37,2.83,4.65,4.74,9.99,2.71,0.0,1.23,0.0,0.09,0.12,3.82,81.91,5.44,3.57,5.47,5.84,9.28,2.81,0.62,0.62,0.62,0.14,0.14,4.68,4
Tyquan Thornton ,NE,WR,4.0,12.0,22.0,1.83,45.0,3.75,247.0,20.58,11.23,29.0,14.17,4.0,0.33,2.0,0.17,3.0,0.25,16.0,1.33,5.33,1.0,0.08,25.0,2.08,48.0,4.0,0.0,0.0,0.0,1.0,44.3,3.69,1.6,5.31,3.87,10.0,0.0,1.0,1.0,0.0,0.2,0.1,2.98,55.3,4.61,2.1,5.76,4.87,10.0,0.0,1.0,1.0,0.0,0.2,0.1,3.66,66.3,5.52,2.8,6.24,5.89,10.0,0.0,1.0,1.0,0.0,0.2,0.1,4.44,1
Damiere Byrd ,FA,WR,20.0,12.11,20.3,1.65,32.92,2.67,319.71,26.12,17.52,65.91,16.92,8.28,0.68,1.62,0.14,0.2,0.01,1.48,0.09,0.74,0.0,0.0,20.5,1.66,33.12,2.68,0.29,0.03,0.01,1.0,41.73,3.42,1.87,4.57,3.73,10.12,0.37,0.66,0.86,0.1,0.16,0.09,2.89,51.89,4.25,2.49,5.0,4.67,9.12,1.33,1.56,0.0,0.1,0.16,0.01,3.57,62.04,5.08,3.3,5.49,5.6,8.59,1.67,1.71,0.04,0.1,0.18,0.02,4.36,4
Braxton Berrios ,MIA,WR,3.0,16.62,26.3,1.6,41.65,2.53,238.79,14.6,9.08,33.68,8.99,4.14,0.26,0.79,0.05,7.56,0.45,68.74,4.09,8.58,1.72,0.1,33.86,2.06,49.21,2.98,0.29,0.02,0.01,1.0,49.26,2.99,2.01,3.32,3.47,13.82,1.76,0.79,0.25,0.0,0.08,0.02,2.81,62.41,3.79,2.64,3.83,4.37,13.23,2.35,0.79,0.0,0.25,0.08,0.03,3.5,75.55,4.59,3.31,4.44,5.24,12.65,2.93,0.69,0.1,0.25,0.08,0.03,4.2,4
Nick Westbrook-Ikhine ,TEN,WR,3.0,15.54,26.08,1.67,47.49,3.03,379.92,24.28,14.52,54.13,14.43,9.1,0.58,2.95,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.08,1.67,47.49,3.03,0.26,0.02,0.01,1.0,55.38,3.54,1.63,5.05,3.73,12.33,2.05,0.26,0.26,0.64,0.08,0.08,2.77,68.42,4.38,2.33,5.65,4.61,11.69,2.44,0.51,0.26,0.64,0.11,0.08,3.5,81.45,5.21,2.99,6.29,5.5,11.69,2.44,0.26,0.51,0.64,0.11,0.1,4.2,3
Jamal Agnew ,JAC,WR,4.0,14.08,21.39,1.53,30.13,2.18,180.24,13.0,7.95,23.89,7.49,1.7,0.13,2.09,0.14,9.74,0.68,83.9,6.07,9.22,0.25,0.02,31.14,2.21,39.87,2.86,0.14,0.01,0.02,1.0,45.18,3.24,1.78,4.28,3.55,11.07,1.29,0.86,0.86,0.0,0.14,0.08,2.77,55.88,4.0,2.5,4.8,4.39,11.25,1.11,1.11,0.62,0.0,0.14,0.05,3.48,66.58,4.77,3.2,5.41,5.22,11.25,0.86,1.35,0.62,0.0,0.17,0.05,4.18,4
