Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE
Isaiah Likely ,BAL,TE,3.0,14.0,36.0,2.57,60.0,4.29,373.0,26.64,10.36,34.0,13.43,5.0,0.36,3.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,2.57,60.0,4.29,0.0,0.0,0.0,1.0,55.3,3.95,2.4,4.31,3.92,7.0,3.0,3.0,1.0,0.0,0.4,0.14,3.51,73.3,5.24,3.4,5.21,5.12,7.0,3.0,2.0,2.0,0.0,0.4,0.29,4.54,91.3,6.52,4.4,6.19,6.32,7.0,3.0,2.0,1.0,1.0,0.4,0.29,5.52,1
Foster Moreau ,FA,TE,3.0,14.4,29.23,2.05,45.96,3.23,371.14,25.99,13.2,36.69,16.12,9.1,0.63,2.36,0.16,0.0,0.0,1.23,0.09,inf,0.0,0.0,29.23,2.05,45.96,3.23,0.62,0.04,0.02,1.0,50.19,3.51,2.28,3.22,3.75,7.22,4.36,2.47,0.34,0.0,0.26,0.04,3.18,64.81,4.54,3.3,3.68,4.86,8.18,3.4,2.57,0.25,0.0,0.26,0.03,4.13,79.42,5.56,4.36,4.22,5.96,8.18,3.07,2.9,0.25,0.0,0.28,0.03,5.11,4
Jonnu Smith ,ATL,TE,2.0,13.44,28.94,2.17,42.62,3.18,284.71,21.13,9.74,47.99,13.76,6.27,0.47,1.15,0.07,3.19,0.21,16.4,1.09,5.14,0.1,0.01,32.13,2.38,45.81,3.39,0.0,0.0,0.0,1.0,37.62,2.71,2.34,2.48,3.04,9.2,3.15,0.78,0.12,0.2,0.12,0.05,2.83,52.09,3.8,3.67,2.98,4.24,8.33,3.87,0.92,0.12,0.2,0.15,0.05,3.99,66.56,4.88,4.84,3.56,5.41,7.1,4.76,1.26,0.08,0.24,0.2,0.05,5.06,4
Cade Otton ,TB,TE,1.0,16.0,42.0,2.62,65.0,4.06,391.0,24.44,9.31,35.0,13.0,5.0,0.31,2.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,2.62,65.0,4.06,0.0,0.0,0.0,1.0,51.1,3.19,2.15,3.49,3.34,11.0,3.0,1.0,1.0,0.0,0.14,0.09,2.97,72.1,4.51,3.0,4.3,4.63,9.0,4.0,2.0,1.0,0.0,0.23,0.11,3.98,93.1,5.82,4.0,5.16,5.9,9.0,3.0,2.0,2.0,0.0,0.33,0.22,5.08,1
Will Dissly ,SEA,TE,2.0,14.25,29.38,2.1,33.72,2.41,306.85,21.97,10.51,37.26,14.97,3.16,0.24,2.45,0.18,0.04,0.01,0.28,0.05,0.28,0.0,0.0,29.42,2.1,33.76,2.41,0.0,0.0,0.0,0.99,45.4,3.29,2.33,3.09,3.51,10.35,1.45,2.33,0.08,0.04,0.27,0.06,2.96,60.09,4.33,3.37,3.43,4.67,10.25,1.55,2.33,0.08,0.04,0.27,0.06,3.94,74.78,5.38,4.38,3.8,5.85,9.88,2.27,1.37,0.69,0.04,0.24,0.12,4.91,4
C.J. Uzomah ,NYJ,TE,2.0,13.39,26.85,2.14,34.8,2.8,282.39,22.67,10.71,41.86,14.67,8.34,0.61,2.64,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.85,2.14,34.8,2.8,0.0,0.0,0.0,0.95,44.08,3.58,2.45,4.66,3.47,9.22,2.6,0.46,0.0,1.11,0.21,0.12,2.69,57.51,4.65,3.85,4.86,4.62,10.2,1.62,0.36,0.1,1.11,0.21,0.22,3.74,70.93,5.72,4.93,5.1,5.81,9.34,2.19,0.61,0.75,0.49,0.24,0.23,4.68,4
MyCole Pruitt ,FA,TE,9.0,11.07,14.03,1.31,18.71,1.74,136.45,12.64,9.88,27.1,9.53,1.98,0.18,3.44,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.03,1.31,18.71,1.74,0.0,0.0,0.0,1.0,34.77,3.24,2.37,3.16,3.46,6.49,2.11,2.48,0.0,0.0,0.32,0.0,2.96,41.78,3.9,3.36,3.48,4.2,6.73,2.48,1.86,0.0,0.0,0.21,0.0,3.68,48.8,4.55,3.94,3.82,4.95,6.73,3.34,1.0,0.0,0.0,0.1,0.0,4.23,4
Trey McBride ,ARI,TE,2.0,12.0,29.0,2.42,39.0,3.25,265.0,22.08,9.14,29.0,10.42,3.0,0.25,1.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2.42,39.0,3.25,0.0,0.0,0.0,1.0,32.5,2.71,1.55,3.91,2.75,9.0,2.0,0.0,1.0,0.0,0.09,0.11,2.33,47.0,3.92,3.3,4.86,3.9,8.0,3.0,0.0,0.0,1.0,0.09,0.12,3.64,61.5,5.12,5.05,5.85,5.04,6.0,4.0,1.0,0.0,1.0,0.2,0.17,5.01,1
Cameron Brate ,FA,TE,2.0,11.69,23.88,2.09,42.96,3.82,207.53,18.18,8.7,21.29,10.48,0.89,0.08,1.34,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.88,2.09,42.96,3.82,0.0,0.0,0.0,1.0,28.79,2.32,1.69,1.9,2.83,8.36,2.33,0.96,0.04,0.0,0.08,0.0,2.45,40.73,3.36,2.76,2.42,4.0,8.11,3.07,0.46,0.04,0.0,0.04,0.0,3.44,52.67,4.41,3.74,2.99,5.15,7.77,2.61,1.28,0.04,0.0,0.13,0.0,4.45,4
Harrison Bryant ,CLE,TE,3.0,14.36,27.72,1.94,38.0,2.66,237.36,16.55,8.81,33.33,10.8,3.03,0.21,1.72,0.12,0.64,0.04,5.13,0.37,5.13,0.0,0.0,28.36,1.99,38.64,2.71,0.21,0.01,0.01,1.0,34.15,2.37,1.73,2.36,2.75,10.49,2.87,0.9,0.0,0.1,0.08,0.01,2.33,48.01,3.34,2.74,2.74,3.88,10.49,2.87,0.9,0.0,0.1,0.08,0.01,3.29,61.86,4.31,3.69,3.19,4.98,9.85,3.51,0.9,0.0,0.1,0.08,0.01,4.21,3
