Player,POS,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Jaylen Samuels (FA),RB,14,66,4.71,175,12.5,2.65,13,5.86,0,0.0,1,0.07,47,3.36,57,4.07,305,21.79,6.49,1,0.07,113,8.07,123,8.79,1,0.07,0.01,1.0,58.4,4.17,3.3,4.31,4.68,11,1,1,1,0,0.17,0.09,4.17,81.9,5.85,4.55,5.58,6.22,11,0,2,1,0,0.27,0.09,5.34,105.4,7.53,5.8,7.05,7.64,11,0,1,1,1,0.27,0.18,6.44
Rashaad Penny (PHI),RB,10,65,6.5,370,37.0,5.69,58,14.6,8,0.8,3,0.3,8,0.8,11,1.1,83,8.3,10.38,1,0.1,73,7.3,76,7.6,1,0.1,0.01,1.0,67.3,6.73,3.35,8.44,6.38,7,0,1,0,2,0.43,0.29,4.94,71.3,7.13,3.8,8.85,6.75,7,0,1,1,1,0.43,0.29,5.27,75.3,7.53,4.05,9.3,7.13,7,0,1,1,1,0.43,0.29,5.52
DeAndre Washington (FA),RB,16,108,6.75,387,24.19,3.58,36,8.5,2,0.12,3,0.19,36,2.25,41,2.56,292,18.25,8.11,0,0.0,144,9.0,149,9.31,0,0.0,0.0,1.0,85.9,5.37,2.75,5.28,5.72,12,0,2,2,0,0.33,0.17,4.53,103.9,6.49,3.45,6.06,6.76,12,0,1,3,0,0.33,0.25,5.24,121.9,7.62,4.4,6.92,7.77,12,0,1,3,0,0.33,0.25,6.03
Alexander Mattison (MIN),RB,13,100,7.69,462,35.54,4.62,35,15.46,5,0.38,1,0.08,10,0.77,12,0.92,82,6.31,8.2,0,0.0,110,8.46,112,8.62,1,0.08,0.01,1.0,58.4,4.49,4.9,3.2,5.43,9,3,1,0,0,0.08,0.0,5.03,63.4,4.88,4.9,3.46,5.84,9,3,1,0,0,0.08,0.0,5.2,68.4,5.26,4.9,3.81,6.23,9,4,0,0,0,0.0,0.0,5.31
Mark Walton (FA),RB,7,53,7.57,201,28.71,3.79,19,10.57,0,0.0,0,0.0,15,2.14,21,3.0,89,12.71,5.93,0,0.0,68,9.71,74,10.57,1,0.14,0.01,0.92,27.0,3.86,3.4,2.34,5.03,6,1,0,0,0,0.0,0.0,4.1,34.5,4.93,4.9,3.02,6.11,6,1,0,0,0,0.0,0.0,5.05,42.0,6.0,6.4,3.76,7.12,6,0,1,0,0,0.17,0.0,6.06
Gus Edwards (BAL),RB,16,133,8.31,711,44.44,5.35,63,16.94,9,0.56,2,0.12,7,0.44,7,0.44,45,2.81,6.43,0,0.0,140,8.75,140,8.75,1,0.06,0.01,1.0,85.6,5.35,3.55,4.22,6.03,11,3,1,1,0,0.14,0.09,4.8,89.1,5.57,3.8,4.26,6.33,11,3,1,1,0,0.14,0.09,5.02,92.6,5.79,4.05,4.31,6.64,11,3,1,1,0,0.14,0.09,5.24
Brian Hill (FA),RB,12,78,6.5,323,26.92,4.14,27,11.42,2,0.17,2,0.17,10,0.83,14,1.17,69,5.75,6.9,1,0.08,88,7.33,92,7.67,0,0.0,0.0,1.0,57.2,4.77,3.2,4.46,5.3,8,2,2,0,0,0.2,0.0,4.27,62.2,5.18,4.25,4.44,5.83,9,1,2,0,0,0.2,0.0,4.9,67.2,5.6,5.25,4.49,6.36,9,1,2,0,0,0.2,0.0,5.51
Jalen Richard (FA),RB,16,39,2.44,145,9.06,3.72,13,6.19,0,0.0,0,0.0,36,2.25,43,2.69,323,20.19,8.97,0,0.0,75,4.69,82,5.12,0,0.0,0.0,1.0,46.8,2.92,2.9,2.04,3.95,15,1,0,0,0,0.0,0.0,3.25,64.8,4.05,4.3,2.57,5.23,14,2,0,0,0,0.0,0.0,4.32,82.8,5.18,5.4,3.18,6.41,13,3,0,0,0,0.0,0.0,5.23
Tony Pollard (DAL),RB,15,86,5.73,455,30.33,5.29,44,10.47,7,0.47,2,0.13,15,1.0,20,1.33,107,7.13,7.13,1,0.07,101,6.73,106,7.07,1,0.07,0.01,1.0,74.2,4.95,2.5,6.93,4.92,11,1,0,1,2,0.25,0.27,3.87,81.7,5.45,2.8,7.45,5.38,11,1,0,1,2,0.25,0.27,4.17,89.2,5.95,2.8,7.99,5.85,12,0,0,2,1,0.25,0.25,4.35
Ito Smith (FA),RB,7,22,3.14,106,15.14,4.82,28,10.71,1,0.14,1,0.14,11,1.57,14,2.0,87,12.43,7.91,0,0.0,33,4.71,36,5.14,0,0.0,0.0,0.92,25.3,3.61,4.0,3.4,4.3,5,2,0,0,0,0.0,0.0,3.55,30.8,4.4,4.5,4.21,5.02,5,2,0,0,0,0.0,0.0,4.0,36.3,5.19,5.0,5.11,5.7,5,1,1,0,0,0.17,0.0,4.51
