Player,POS,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Ameer Abdullah (LV),RB,16,8,0.5,42,2.62,5.25,13,1.75,0,0.0,0,0.0,8,0.5,9,0.56,58,3.62,7.25,2,0.12,16,1.0,17,1.06,0,0.0,0.0,1.0,22.0,1.38,0.0,2.54,1.76,14,2,0,0,0,0.0,0.0,0.81,26.0,1.62,0.0,2.89,2.04,14,2,0,0,0,0.0,0.0,0.92,30.0,1.88,0.0,3.26,2.31,14,2,0,0,0,0.0,0.0,1.03
D'Ernest Johnson (FA),RB,16,33,2.06,166,10.38,5.03,28,6.06,3,0.19,0,0.0,3,0.19,4,0.25,14,0.88,4.67,0,0.0,36,2.25,37,2.31,0,0.0,0.0,1.0,18.0,1.12,0.05,2.46,1.45,15,0,1,0,0,0.07,0.0,0.87,19.5,1.22,0.05,2.49,1.58,15,1,0,0,0,0.0,0.0,0.89,21.0,1.31,0.05,2.54,1.72,15,1,0,0,0,0.0,0.0,0.94
Devine Ozigbo (FA),RB,8,1,0.12,1,0.12,1.0,1,0.12,0,0.0,0,0.0,9,1.12,9,1.12,42,5.25,4.67,0,0.0,10,1.25,10,1.25,0,0.0,0.0,0.95,4.3,0.54,0.2,1.02,0.86,8,0,0,0,0,0.0,0.0,0.52,8.8,1.1,0.45,1.73,1.57,8,0,0,0,0,0.0,0.0,0.88,13.3,1.66,0.7,2.48,2.19,8,0,0,0,0,0.0,0.0,1.22
Artavis Pierce (FA),RB,5,6,1.2,34,6.8,5.67,23,5.8,1,0.2,1,0.2,0,0.0,0,0.0,0,0.0,0.0,0,0.0,6,1.2,6,1.2,0,0.0,0.0,0.88,9.4,1.88,0.0,3.78,2.18,4,1,0,0,0,0.0,0.0,0.87,9.4,1.88,0.0,3.78,2.2,4,1,0,0,0,0.0,0.0,0.88,9.4,1.88,0.0,3.78,2.23,4,1,0,0,0,0.0,0.0,0.89
Justice Hill (BAL),RB,12,12,1.0,60,5.0,5.0,19,3.25,0,0.0,0,0.0,5,0.42,5,0.42,20,1.67,4.0,0,0.0,17,1.42,17,1.42,0,0.0,0.0,1.0,8.0,0.67,0.15,1.21,1.03,12,0,0,0,0,0.0,0.0,0.61,10.5,0.88,0.2,1.46,1.3,12,0,0,0,0,0.0,0.0,0.74,13.0,1.08,0.2,1.74,1.56,12,0,0,0,0,0.0,0.0,0.85
C.J. Prosise (FA),RB,10,10,1.0,19,1.9,1.9,7,1.3,0,0.0,0,0.0,5,0.5,5,0.5,18,1.8,3.6,1,0.1,15,1.5,15,1.5,1,0.1,0.07,1.0,7.7,0.77,0.0,1.7,1.09,10,0,0,0,0,0.0,0.0,0.59,10.2,1.02,0.05,1.89,1.42,10,0,0,0,0,0.0,0.0,0.74,12.7,1.27,0.05,2.12,1.74,10,0,0,0,0,0.0,0.0,0.87
Keith Smith (ATL),RB,16,4,0.25,7,0.44,1.75,3,0.44,0,0.0,0,0.0,11,0.69,15,0.94,59,3.69,5.36,0,0.0,15,0.94,19,1.19,0,0.0,0.0,1.0,6.6,0.41,0.1,0.82,0.7,16,0,0,0,0,0.0,0.0,0.44,12.1,0.76,0.35,1.23,1.17,16,0,0,0,0,0.0,0.0,0.73,17.6,1.1,0.6,1.65,1.6,16,0,0,0,0,0.0,0.0,1.0
Jaylen Samuels (FA),RB,14,9,0.64,28,2.0,3.11,6,1.36,0,0.0,0,0.0,9,0.64,14,1.0,46,3.29,5.11,0,0.0,18,1.29,23,1.64,0,0.0,0.0,1.0,7.4,0.53,0.05,0.94,0.87,14,0,0,0,0,0.0,0.0,0.53,11.9,0.85,0.05,1.42,1.27,14,0,0,0,0,0.0,0.0,0.69,16.4,1.17,0.05,1.94,1.64,14,0,0,0,0,0.0,0.0,0.84
Dontrell Hilliard (FA),RB,7,9,1.29,48,6.86,5.33,19,4.14,0,0.0,0,0.0,1,0.14,1,0.14,2,0.29,2.0,0,0.0,10,1.43,10,1.43,0,0.0,0.0,0.92,5.0,0.71,0.0,1.24,1.09,7,0,0,0,0,0.0,0.0,0.54,5.5,0.79,0.0,1.34,1.19,7,0,0,0,0,0.0,0.0,0.57,6.0,0.86,0.0,1.46,1.29,7,0,0,0,0,0.0,0.0,0.61
Jason Huntley (PIT),RB,5,5,1.0,19,3.8,3.8,10,3.2,0,0.0,0,0.0,1,0.2,2,0.4,0,0.0,0.0,0,0.0,6,1.2,7,1.4,0,0.0,0.0,0.88,1.9,0.38,0.1,0.55,0.71,5,0,0,0,0,0.0,0.0,0.41,2.4,0.48,0.1,0.62,0.88,5,0,0,0,0,0.0,0.0,0.47,2.9,0.58,0.1,0.75,1.03,5,0,0,0,0,0.0,0.0,0.52
Buddy Howell (FA),RB,14,16,1.14,64,4.57,4.0,9,1.14,0,0.0,0,0.0,1,0.07,2,0.14,3,0.21,3.0,0,0.0,17,1.21,18,1.29,0,0.0,0.0,1.0,6.7,0.48,0.0,1.3,0.72,14,0,0,0,0,0.0,0.0,0.42,7.2,0.51,0.0,1.42,0.77,14,0,0,0,0,0.0,0.0,0.44,7.7,0.55,0.0,1.54,0.82,14,0,0,0,0,0.0,0.0,0.45
