Player,TEAM,POS,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Elijah Mitchell ,SF,RB,7.06,92.65,11.43,480.18,62.99,5.74,37.59,19.09,4.06,0.5,2.88,0.41,7.71,0.89,8.71,1.06,45.24,4.35,3.77,0.29,0.02,100.35,12.31,101.35,12.48,0.0,0.0,0.0,0.92,71.6,9.31,7.62,5.98,9.59,2.71,1.88,0.0,1.59,0.88,0.47,1.12,8.03,75.45,9.76,8.03,5.95,10.16,2.71,1.88,0.0,1.88,0.59,0.47,1.12,8.41,79.31,10.2,8.76,5.97,10.73,2.71,1.59,0.59,1.88,0.29,0.59,0.97,8.92
Kareem Hunt ,FA,RB,14.25,115.25,8.26,470.35,34.83,4.15,26.75,12.38,2.35,0.19,3.75,0.31,32.15,2.37,40.45,2.96,214.15,16.33,6.76,1.15,0.07,147.4,10.62,155.7,11.21,0.0,0.0,0.0,0.99,98.35,7.48,7.31,5.65,7.75,6.75,4.35,1.05,0.7,1.4,0.45,0.52,7.36,114.42,8.66,8.64,6.15,8.91,6.7,4.3,1.15,0.8,1.3,0.49,0.52,8.35,130.5,9.84,9.81,6.69,10.05,7.25,3.65,1.45,0.6,1.3,0.52,0.46,9.27
Javonte Williams ,DEN,RB,7.82,92.88,11.81,409.59,51.62,4.37,26.41,15.55,3.24,0.19,1.18,0.07,23.94,3.57,31.12,4.8,146.59,18.88,5.51,0.88,0.05,116.82,15.37,124.0,16.61,1.0,0.19,0.01,0.89,65.97,7.39,7.47,3.7,8.64,2.18,3.88,0.88,0.29,0.59,0.16,0.18,7.39,77.94,9.17,8.47,5.05,9.99,1.88,3.47,1.59,0.29,0.59,0.39,0.22,8.35,89.91,10.96,9.47,6.7,11.26,1.88,3.47,0.59,1.59,0.29,0.39,1.0,9.32
Isiah Pacheco ,KC,RB,17.0,170.0,10.0,830.0,48.82,4.88,31.0,12.06,4.0,0.24,5.0,0.29,13.0,0.76,14.0,0.82,130.0,7.65,10.0,0.0,0.0,183.0,10.76,184.0,10.82,2.0,0.12,0.01,1.0,122.0,7.18,7.7,5.02,7.74,6.0,5.0,4.0,2.0,0.0,0.55,0.33,7.62,128.5,7.56,8.2,5.17,8.18,8.0,3.0,4.0,2.0,0.0,0.55,0.25,7.97,135.0,7.94,8.7,5.36,8.63,8.0,3.0,6.0,0.0,0.0,0.55,0.0,8.29
Cam Akers ,LAR,RB,14.57,181.86,12.47,763.0,52.35,4.2,44.71,15.07,6.57,0.46,6.29,0.43,12.71,0.88,17.43,1.2,117.86,8.15,9.31,0.14,0.01,194.57,13.34,199.29,13.66,1.86,0.12,0.01,1.0,122.94,8.41,6.19,8.13,8.06,5.86,3.14,3.43,0.29,1.86,0.62,0.37,7.46,129.3,8.85,7.09,8.44,8.49,7.0,2.86,2.71,1.0,1.0,0.48,0.29,7.91,135.66,9.29,8.0,8.78,8.93,7.0,2.86,2.86,1.0,0.86,0.48,0.27,8.44
Darrell Henderson Jr. ,FA,RB,11.15,95.0,8.38,411.55,36.04,4.22,26.15,11.14,1.5,0.12,3.55,0.32,19.25,1.75,25.9,2.34,122.95,10.99,6.57,0.85,0.07,114.25,10.12,120.9,10.71,0.0,0.0,0.0,1.0,79.85,7.02,6.58,4.81,7.56,5.9,1.9,1.8,0.75,0.8,0.54,0.36,7.09,89.48,7.9,7.59,4.91,8.57,5.75,2.65,0.95,1.2,0.6,0.45,0.54,7.9,99.1,8.77,8.89,5.16,9.53,5.5,2.3,1.8,1.05,0.5,0.54,0.66,8.87
AJ Dillon ,GB,RB,16.37,171.53,10.24,723.11,43.35,4.3,29.68,12.27,3.0,0.19,5.95,0.35,26.84,1.59,37.11,2.19,214.68,12.7,8.18,0.53,0.03,198.37,11.83,208.63,12.43,0.26,0.02,0.0,1.0,132.09,7.9,6.31,6.0,8.18,7.05,3.58,2.05,2.42,1.26,0.54,0.55,7.45,145.52,8.7,6.75,6.42,8.94,7.42,4.11,1.16,2.42,1.26,0.42,0.54,7.86,158.94,9.49,7.27,6.91,9.69,8.84,2.68,1.16,2.42,1.26,0.42,0.42,8.34
Jeff Wilson Jr. ,MIA,RB,13.6,139.3,9.97,654.75,45.9,4.53,33.5,13.76,7.05,0.45,4.4,0.32,16.4,1.14,27.25,1.86,133.75,9.06,7.74,0.95,0.07,155.7,11.11,166.55,11.83,1.4,0.09,0.01,1.0,108.15,7.63,6.31,6.53,7.71,6.35,1.95,3.35,0.35,1.6,0.62,0.31,7.15,116.35,8.2,7.31,6.8,8.3,6.35,2.55,2.8,0.9,1.0,0.51,0.31,7.74,124.55,8.77,8.13,7.09,8.9,6.35,2.55,2.85,0.95,0.9,0.51,0.3,8.3
Kenyan Drake ,FA,RB,12.4,113.55,8.96,489.05,38.68,4.3,40.15,14.2,7.05,0.57,4.3,0.34,22.7,1.82,32.1,2.58,157.1,12.66,6.46,0.85,0.07,136.25,10.78,145.65,11.54,0.15,0.01,0.0,1.0,95.32,7.57,5.28,7.38,7.41,7.5,0.65,1.45,1.0,1.8,0.55,0.4,6.6,106.66,8.48,6.25,7.66,8.33,6.85,1.35,2.0,1.0,1.2,0.52,0.37,7.34,118.01,9.38,7.2,7.99,9.24,6.7,1.2,1.8,1.75,0.95,0.58,0.48,8.13
Michael Carter ,NYJ,RB,15.41,123.71,8.11,471.71,31.16,3.77,33.82,11.71,4.47,0.3,3.29,0.22,39.53,2.56,54.29,3.54,298.88,19.53,7.61,0.0,0.0,163.24,10.68,178.0,11.66,1.0,0.06,0.01,1.0,94.82,6.24,5.78,4.95,6.72,8.94,3.18,1.29,1.71,0.29,0.28,0.27,6.38,114.59,7.52,6.41,5.39,8.03,7.82,4.0,1.59,1.71,0.29,0.33,0.27,7.17,134.35,8.81,6.93,5.97,9.29,8.12,3.71,1.59,1.71,0.29,0.33,0.25,7.88
