,,,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,STANDARD
Player,Season,Week,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,FPTS
Mark Andrews (BAL),2021,17,6,6,89,14.8,33,2,0,0,0,0,0,8.9
David Njoku (CLE),2021,17,4,4,28,7.0,9,0,1,0,0,0,0,8.8
Anthony Firkser (FA),2021,17,3,3,24,8.0,15,0,1,0,0,0,0,8.4
Travis Kelce (KC),2021,17,5,7,25,5.0,8,0,1,1,-1,0,0,8.4
Dallas Goedert (PHI),2021,17,6,7,71,11.8,18,0,0,0,0,0,0,7.1
Tyler Higbee (LAR),2021,17,6,9,69,11.5,19,0,0,0,0,0,0,6.9
Kyle Pitts (ATL),2021,17,2,4,69,34.5,61,4,0,0,0,0,0,6.9
Geoff Swaim (FA),2021,17,3,3,9,3.0,5,0,1,0,0,0,0,6.9
Cameron Brate (FA),2021,17,2,3,5,2.5,4,0,1,0,0,0,0,6.5
Harrison Bryant (CLE),2021,17,1,1,1,1.0,1,0,1,0,0,0,0,6.1
Dalton Schultz (HOU),2021,17,6,10,54,9.0,14,0,0,0,0,0,0,5.4
Mike Gesicki (NE),2021,17,4,7,51,12.8,15,0,0,0,0,0,0,5.1
Tyler Conklin (NYJ),2021,17,5,9,47,9.4,15,0,0,0,0,0,0,4.7
Zach Ertz (ARI),2021,17,7,9,41,5.9,11,0,0,0,0,0,0,4.1
Hunter Henry (NE),2021,17,3,5,37,12.3,17,0,0,0,0,0,0,3.7
Durham Smythe (MIA),2021,17,3,3,37,12.3,21,1,0,0,0,0,0,3.7
Blake Bell (KC),2021,17,3,3,35,11.7,24,1,0,1,2,0,0,3.7
Gerald Everett (LAC),2021,17,3,5,36,12.0,15,0,0,0,0,0,0,3.6
Kenny Yeboah (NYJ),2021,17,2,2,36,18.0,24,1,0,0,0,0,0,3.6
John Bates (WAS),2021,17,3,4,35,11.7,24,1,0,0,0,0,0,3.5
George Kittle (SF),2021,17,1,2,29,29.0,29,1,0,1,6,0,0,3.5
Ian Thomas (CAR),2021,17,3,3,33,11.0,21,1,0,0,0,0,0,3.3
C.J. Uzomah (NYJ),2021,17,4,6,32,8.0,11,0,0,0,0,0,0,3.2
Parker Hesse (ATL),2021,17,3,3,31,10.3,17,0,0,0,0,0,0,3.1
Daniel Brown (FA),2021,17,2,2,29,14.5,24,1,0,0,0,0,0,2.9
Austin Hooper (LV),2021,17,2,5,28,14.0,21,1,0,0,0,0,0,2.8
Mo Alie-Cox (IND),2021,17,3,5,28,9.3,17,0,0,0,0,0,0,2.8
Cole Kmet (CHI),2021,17,3,5,25,8.3,11,0,0,0,0,0,0,2.5
Jonnu Smith (ATL),2021,17,1,1,20,20.0,20,1,0,1,5,0,0,2.5
Tre' McKitty (LAC),2021,17,3,3,22,7.3,8,0,0,0,0,0,0,2.2
Pat Freiermuth (PIT),2021,17,5,6,22,4.4,12,0,0,0,0,0,0,2.2
Evan Engram (JAC),2021,17,1,2,12,12.0,12,0,0,0,0,0,0,1.2
Colby Parkinson (SEA),2021,17,1,1,12,12.0,12,0,0,0,0,0,0,1.2
Josiah Deguara (GB),2021,17,2,3,11,5.5,7,0,0,0,0,0,0,1.1
Foster Moreau (FA),2021,17,1,1,9,9.0,9,0,0,0,0,0,0,0.9
Pharaoh Brown (FA),2021,17,1,1,9,9.0,9,0,0,0,0,0,0,0.9
Tyler Davis (GB),2021,17,2,2,9,4.5,9,0,0,0,0,0,0,0.9
Brevin Jordan (HOU),2021,17,1,1,9,9.0,9,0,0,0,0,0,0,0.9
Will Dissly (SEA),2021,17,1,1,8,8.0,8,0,0,0,0,0,0,0.8
Stephen Anderson (FA),2021,17,1,1,8,8.0,8,0,0,0,0,0,0,0.8
Ricky Seals-Jones (FA),2021,17,1,2,8,8.0,8,0,0,0,0,0,0,0.8
Luke Farrell (JAC),2021,17,1,2,7,7.0,7,0,0,0,0,0,0,0.7
Noah Gray (KC),2021,17,1,1,6,6.0,6,0,0,0,0,0,0,0.6
