,,,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,MISC,STANDARD
Player,Season,Week,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,FPTS
J.D. McKissic (FA),2022,3,3,8,2.7,6,0,0,6,9,32,5.3,0,0,4.0
J.K. Dobbins (BAL),2022,3,7,23,3.3,5,0,0,2,2,17,8.5,0,0,4.0
DeeJay Dallas (SEA),2022,3,3,21,7.0,16,0,0,2,2,17,8.5,0,0,3.8
AJ Dillon (GB),2022,3,12,32,2.7,7,0,0,2,3,6,3.0,0,0,3.8
Joe Mixon (CIN),2022,3,12,24,2.0,9,0,0,3,7,14,4.7,0,0,3.8
Jaylen Warren (PIT),2022,3,4,30,7.5,10,0,0,1,1,3,3.0,0,0,3.3
Kenneth Walker III (SEA),2022,3,3,19,6.3,21,1,0,3,3,14,4.7,0,0,3.3
Sony Michel (FA),2022,3,5,22,4.4,8,0,0,1,2,9,9.0,0,0,3.1
Nyheim Hines (BUF),2022,3,3,7,2.3,7,0,0,5,6,23,4.6,0,0,3.0
Tyler Allgeier (ATL),2022,3,6,25,4.2,7,0,0,1,1,5,5.0,0,0,3.0
Rex Burkhead (FA),2022,3,3,9,3.0,4,0,0,4,5,21,5.3,0,0,3.0
Aaron Jones (GB),2022,3,12,36,3.0,10,0,0,3,4,11,3.7,0,1,2.7
Chuba Hubbard (CAR),2022,3,3,25,8.3,14,0,0,0,0,0,0.0,0,0,2.5
Kyle Juszczyk (SF),2022,3,0,0,0.0,0,0,0,1,1,24,24.0,0,0,2.4
Trestan Ebner (CHI),2022,3,7,23,3.3,7,0,0,0,1,0,0.0,0,0,2.3
Eno Benjamin (NO),2022,3,5,16,3.2,9,0,0,2,4,7,3.5,0,0,2.3
Reggie Gilliam (BUF),2022,3,0,0,0.0,0,0,0,2,3,22,11.0,0,0,2.2
Brandon Bolden (LV),2022,3,3,17,5.7,12,0,0,2,2,4,2.0,0,0,2.1
Jerick McKinnon (FA),2022,3,7,20,2.9,6,0,0,0,1,0,0.0,0,0,2.0
Craig Reynolds (DET),2022,3,6,13,2.2,5,0,0,1,1,5,5.0,0,0,1.8
Darrell Henderson Jr. (FA),2022,3,4,17,4.3,7,0,0,0,1,0,0.0,0,0,1.7
C.J. Ham (MIN),2022,3,0,0,0.0,0,0,0,2,3,15,7.5,0,0,1.5
Patrick Ricard (BAL),2022,3,0,0,0.0,0,0,0,1,1,12,12.0,0,0,1.2
David Montgomery (DET),2022,3,3,11,3.7,5,0,0,0,0,0,0.0,0,0,1.1
Raheem Mostert (MIA),2022,3,8,11,1.4,9,0,0,0,2,0,0.0,0,0,1.1
Isiah Pacheco (KC),2022,3,3,9,3.0,5,0,0,0,0,0,0.0,0,0,0.9
Avery Williams (ATL),2022,3,1,9,9.0,9,0,0,0,0,0,0.0,0,0,0.9
Travis Homer (CHI),2022,3,1,7,7.0,7,0,0,0,0,0,0.0,0,0,0.7
Jordan Mason (SF),2022,3,1,7,7.0,7,0,0,0,0,0,0.0,0,0,0.7
Darrel Williams (FA),2022,3,1,7,7.0,7,0,0,0,1,0,0.0,0,0,0.7
Kenneth Gainwell (PHI),2022,3,3,6,2.0,3,0,0,0,0,0,0.0,0,0,0.6
Jonathan Williams (WAS),2022,3,1,6,6.0,6,0,0,0,0,0,0.0,0,0,0.6
Chris Evans (CIN),2022,3,0,0,0.0,0,0,0,1,1,4,4.0,0,0,0.4
Matt Breida (NYG),2022,3,1,3,3.0,3,0,0,0,0,0,0.0,0,0,0.3
Joshua Kelley (LAC),2022,3,1,-3,-3.0,0,0,0,2,2,6,3.0,0,0,0.3
Michael Burton (DEN),2022,3,1,2,2.0,2,0,0,0,0,0,0.0,0,0,0.2
Alec Ingold (MIA),2022,3,1,0,0.0,0,0,0,0,1,0,0.0,0,0,0.0
Khari Blasingame (CHI),2022,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jakob Johnson (LV),2022,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
JaMycal Hasty (JAC),2022,3,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0.0
Giovanni Ricci (CAR),2022,3,0,0,0.0,0,0,0,1,2,15,15.0,0,0,0.0
Zander Horvath (LAC),2022,3,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0.0
Rachaad White (TB),2022,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Hassan Haskins (TEN),2022,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Kene Nwangwu (MIN),2022,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jake Tonges (CHI),2022,3,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0.0
Mike Boone (HOU),2022,3,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0.0
Jerome Ford (CLE),2022,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Dwayne Washington (NO),2022,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Justin Jackson (FA),2022,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jason Cabinda (DET),2022,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Boston Scott (PHI),2022,3,2,0,0.0,1,0,0,0,0,0,0.0,0,0,0.0
Ameer Abdullah (LV),2022,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Josh Jacobs (LV),2022,4,28,144,5.1,43,3,2,5,6,31,6.2,0,0,29.5
Austin Ekeler (LAC),2022,4,13,60,4.6,20,1,2,6,7,49,8.2,1,0,28.9
Rashaad Penny (PHI),2022,4,17,151,8.9,41,6,2,1,1,6,6.0,0,0,27.7
Miles Sanders (CAR),2022,4,27,134,5.0,35,2,2,2,3,22,11.0,0,0,27.6
Jamaal Williams (NO),2022,4,19,108,5.7,51,4,2,1,3,1,1.0,0,0,22.9
Clyde Edwards-Helaire (KC),2022,4,19,92,4.8,20,1,1,1,2,2,2.0,1,0,21.4
Derrick Henry (TEN),2022,4,22,114,5.2,19,0,1,3,5,33,11.0,0,0,20.7
Dameon Pierce (HOU),2022,4,14,131,9.4,75,4,1,6,6,8,1.3,0,0,19.9
Nick Chubb (CLE),2022,4,19,118,6.2,28,1,1,2,3,9,4.5,0,0,18.7
J.K. Dobbins (BAL),2022,4,13,41,3.2,16,0,1,4,4,22,5.5,1,0,18.3
Christian McCaffrey (SF),2022,4,8,27,3.4,10,0,0,9,9,81,9.0,1,0,16.8
Saquon Barkley (NYG),2022,4,31,146,4.7,29,1,0,2,2,16,8.0,0,0,16.2
Damien Harris (BUF),2022,4,18,86,4.8,14,0,1,1,1,-2,-2.0,0,0,14.4
Breece Hall (NYJ),2022,4,17,66,3.9,16,0,1,2,6,12,6.0,0,0,13.8
Jeff Wilson Jr. (MIA),2022,4,18,74,4.1,32,2,1,0,0,0,0.0,0,0,13.4
Joe Mixon (CIN),2022,4,24,61,2.5,7,0,1,4,4,13,3.3,0,0,13.4
Latavius Murray (FA),2022,4,11,57,5.2,10,0,1,1,1,8,8.0,0,0,12.5
Caleb Huntley (ATL),2022,4,10,56,5.6,14,0,1,0,0,0,0.0,0,0,11.6
Aaron Jones (GB),2022,4,16,110,6.9,20,1,0,3,4,5,1.7,0,0,11.5
Leonard Fournette (FA),2022,4,3,-3,-1.0,3,0,0,7,7,57,8.1,1,0,11.4
Tyler Allgeier (ATL),2022,4,10,84,8.4,42,3,0,1,1,20,20.0,0,0,10.4
Khalil Herbert (CHI),2022,4,19,77,4.1,15,0,0,1,1,24,24.0,0,0,10.1
Rex Burkhead (FA),2022,4,0,0,0.0,0,0,0,5,5,39,7.8,1,0,9.9
Cordarrelle Patterson (ATL),2022,4,9,38,4.2,13,0,1,0,0,0,0.0,0,0,9.8
Rachaad White (TB),2022,4,3,6,2.0,4,0,1,5,5,50,10.0,0,1,9.6
Rhamondre Stevenson (NE),2022,4,14,66,4.7,17,0,0,4,5,23,5.8,0,0,8.9
Dalvin Cook (MIN),2022,4,20,76,3.8,14,0,0,2,2,10,5.0,0,0,8.6
AJ Dillon (GB),2022,4,17,73,4.3,13,0,0,1,2,11,11.0,0,0,8.4
Ezekiel Elliott (FA),2022,4,19,49,2.6,7,0,0,2,2,32,16.0,0,0,8.1
Raheem Mostert (MIA),2022,4,15,69,4.6,25,1,0,2,3,12,6.0,0,0,8.1
Chase Edmonds (TB),2022,4,5,6,1.2,4,0,0,2,3,14,7.0,1,0,8.0
Alexander Mattison (MIN),2022,4,3,3,1.0,2,0,0,1,1,15,15.0,1,0,7.8
